,id,name,birth,death,species,ancestry,gender,hair_color,eye_color,wand,patronus,house,associated_groups,books_featured_in
23,24,Otto Bagman,,,Human,Pure-blood or half-blood,Male,,,,,,['Bagman family'],[4]
24,25,Bane,,,Centaur,,Male,Black,,,,,"['Forbidden Forest Centaur colony', 'Hogwarts School of Witchcraft and Wizardry']","[1, 5, 7]"
25,26,Heathcote Barbary,1974,,Human,,Male,,,,,,['The Weird Sisters'],[4]
26,27,Barnabas the Barmy,,,Human,Magical to unknown extent,Male,Brown,Brown,,,,"['Trolls', 'Ballet']","[5, 6]"
27,28,Baruffio,,,Human,,Male,,,,,,[],"[1, 5]"
28,29,Ali Bashir,,,Human,,Male,,,,,,['Flying carpets'],[4]
29,30,Basil,,,Human,Pure-blood or Half-blood,Male,Grey,,,,,"['British Ministry of Magic', 'Department of Magical Transportation']",[4]
30,31,Beedle the Bard,c. 15th century,,Human,,Male,,,,,,[],[7]
31,32,Damocles Belby,,,Human,,Male,,,,,,"['Order of Merlin', 'Hogwarts School of Witchcraft and Wizardry']",[6]
32,33,Marcus Belby,"between 1 September 1978 and 31 August 1979, Great Britain or Ireland",,Human,Half-blood or Pure-blood,Male,Brown,Dark,,,Ravenclaw,"['Hogwarts School of Witchcraft and Wizardry', 'Ravenclaw', 'Slug Club', 'Belby family']",[6]
33,34,Marcus Belby's father,,,Human,,Male,,,,,Ravenclaw (likely),['Belby family'],[6]
34,35,Humphrey Belcher,,,Human,,Male,,,,,,[],[6]
35,36,Katie Bell's father,,,Human,,Male,,,,,,['Bell family'],[6]
36,37,Bem,between 1 September 1979 and 31 August 1980,,Human,Pure-blood or half-blood,Male,Black,Dark,,,Gryffindor,"['Hogwarts School of Witchcraft and Wizardry', 'Gryffindor', ""Dumbledore's Army""]","[3, 5]"
37,38,Benjamin Hater,,,,,Male (likely),,,,,,[],[3]
38,39,Bernie,Before 1980,,Human,,Male,,,,,,['British Ministry of Magic'],[7]
39,40,Bilius,,"Between 1 March, 1980 and September, 1993",Human,Pure-blood,Male,,,,,,"['Weasley family', 'Prewett family']","[3, 7]"
40,41,Binky,Early 1990s (possibly),"15 October, 1993",Rabbit,,Male,,,,,,['Lavender Brown (owner)'],[3]
41,42,Cuthbert Binns,,"Pre 1970s, Staffroom, Hogwarts Castle",Human (formerly),,Male,White (balding),Black,,,,"['Hogwarts School of Witchcraft and Wizardry', 'Binns family']","[1, 2, 3, 4, 5, 7]"
42,43,Dennis Bishop,,,Human,Muggle,Male,,,,,,"[""Wool's Orphanage""]",[6]
43,44,Black Knight,,,Human (formerly),,Male (likely),,,,,,['Hogwarts School of Witchcraft and Wizardry'],[1]
44,45,Alphard Black,Between 1925 and 1938; Great Britain,Between 3 November 1976 and 3 November 1977 (aged 38 - 52),Human,Pure-blood,Male,,,,,House of Black (disowned posthumously),[],[5]
45,46,Arcturus Black III,1901,1991 (aged 89-90),Human,Pure-blood,Male,,,,,House of Black,[],[5]
46,47,Orion Black,1929,1979 (aged 49 - 50),Human,Pure-blood,Male,,,,,House of Black,[],[5]
47,48,Phineas Nigellus Black,1847,1925 (aged 77 - 78),Human,Pure-blood,Male,Black,"Dark, shrewd and narrow",,,Hogwarts School of Witchcraft and Wizardry,[],"[5, 6, 7]"
48,49,Regulus Black,1961,1979 (aged 18),Human,Pure-blood,Male,Black,,,Non-corporeal,House of Black,[],"[5, 6, 7]"
49,50,Sirius Black,"3 November, 1959","18 June, 1996 (aged 36)",Human,Pure-blood,Male,Black,Grey,"Unknown length, wood and core",Non-corporeal,Gryffindor,"['Black family (formerly)', 'Potter family', 'Hogwarts School of Witchcraft and Wizardry', 'Gryffindor', 'Marauders', 'Order of the Phoenix']","[1, 3, 4, 5, 6, 7]"
50,51,Miles Bletchley,"c. 1977-1979, Great Britain or Ireland",,Human,,Male,,,,,Slytherin,"['Hogwarts School of Witchcraft and Wizardry', 'Slytherin', 'Slytherin Quidditch team', 'Bletchley family']","[1, 3, 5]"
51,52,Bloody Baron,Post 982,11th century,Human (formerly),,Male,,,,,Slytherin,"['Hogwarts School of Witchcraft and Wizardry', 'Slytherin']","[1, 2, 4, 5, 7]"
52,53,Stubby Boardman,,,Human,,Male,Dark,,,,,['The Hobgoblins'],[5]
53,54,Bob,before 1978,,Human,,Male,Grey,,,,,"['British Ministry of Magic', 'Department for the Regulation and Control of Magical Creatures']",[5]
54,55,Broderick Bode,Between January 1946 and January 1947,Early January 1996,Human,,Male,,,,,,"['British Ministry of Magic', 'Department of Mysteries']","[4, 5]"
55,56,Bogrod,,"1 May, 1998",Goblin,,Male,White,Black,,,,['Gringotts Wizarding Bank'],[7]
56,57,Lucian Bole,beteween 1 September 1976 and 31 August 1977,,Human,,Male,Blonde,,,,Slytherin,"['Bole family', 'Hogwarts School of Witchcraft and Wizardry', 'Slytherin', 'Slytherin Quidditch team']","[3, 5]"
57,58,Pierre Bonaccord,,,Human,,Male,,,,,,['International Confederation of Wizards'],[5]
58,59,Amelia Bones' father,,"prior to 31 October, 1981",Human,,Male,,,,,Hufflepuff (likely),['Bones family'],[1]
59,60,Edgar Bones,,1981,Human,Half-blood or Pure-blood,Male,Reddish-brown,Grey,"Unknown length, wood and core",,Hufflepuff (possibly),"['Bones family', 'Order of the Phoenix']","[1, 5]"
60,61,Mungo Bonham,1560,1659 (aged 98-99),Human,,Male,Brown,Brown,,,,"[""St Mungo's Hospital for Magical Maladies and Injuries""]","[5, 6]"
61,62,Terry Boot,between 1 September 1979 and 21 April 1980,,Human,Half-blood or Pure-blood,Male,,,,,Ravenclaw,"['Boot family', 'Hogwarts School of Witchcraft and Wizardry', 'Ravenclaw', 'Duelling Club', ""Dumbledore's Army""]","[1, 2, 5, 6, 7]"
62,63,Libatius Borage,"Pre 1909, South America",,Human,,Male,,,,,,['Castelobruxo'],[6]
63,64,Borgin,Between Pre-1846 and 1975,,Human,Pure-blood or Half-blood (most likely),Male,,,,,,['Borgin and Burkes'],"[2, 6, 7]"
64,65,Boris the Bewildered,,Before 1995,Human,,Male,Black,,,,,['Hogwarts School of Witchcraft and Wizardry'],[4]
65,66,Bozo,,,Human,,Male,Brown,,,,,['Daily Prophet'],"[2, 4]"
66,67,Rupert Brookstanton,,,Human,,Male,,,,,,[],[6]
67,68,Lavender Brown's father,,,Human,Pure-blood,Male,,,,,Gryffindor (possibly),['Brown family'],[3]
68,69,Brutus,,,Human,Muggle,Male,,,,,,"[""St Brutus's Secure Centre for Incurably Criminal Boys""]","[3, 4, 5]"
69,70,Frank Bryce,August 1917,"16 August, 1994 (aged 76)",Human,Muggle,Male,,,,,Riddle family (formerly),[],"[4, 6]"
70,71,Buckbeak,in or before 1993,,Hippogriff,,Male,,Orange,,,,"['Order of the Phoenix', 'Rubeus Hagrid (owner)', 'Harry Potter (owner)', 'Hermione Granger', 'Sirius Black (owner)', 'Hogwarts School of Witchcraft and Wizardry', ""Dumbledore's Army""]","[3, 4, 5, 6, 7]"
71,72,Caractacus Burke,In or before 1846,Likely before 1992 (Unconfirmed if dead),Human,Pure-blood,Male,,,,,,['Borgin and Burkes'],"[2, 6, 7]"
72,73,Cadogan,"Middle Ages,",Before 1993,Human,Pure-blood,Male,White,,"Blackthorn and troll whisker, 9"", combustible (according to legend)",,Gryffindor,"['King Arthur', 'Hogwarts School of Witchcraft and Wizardry']","[3, 4, 5, 7]"
73,74,Cadwallader,"31 August 1985 or earlier, Great Britain or Ireland",,Human,,Male,,,,,Hufflepuff,"['Hogwarts', 'Hufflepuff Quidditch team', 'Hufflepuff']",[6]
74,75,Eddie Carmichael,"Between 1 September 1978 and 31 August 1979, (most likely)",,Human,,Male,,,,,Ravenclaw,"['Hogwarts School of Witchcraft and Wizardry', 'Ravenclaw']",[5]
75,76,Amycus Carrow,Pre 1950s or 1960s,,Human,Pure-blood or half-blood,Male,,,"Unknown length, wood and core",None,,"['Carrow family', 'Death Eaters', 'Lord Voldemort', 'Hogwarts School of Witchcraft and Wizardry']","[6, 7]"
76,77,Catchpole,,,Human,,Male,,,,,,[],[2]
77,78,Mary Cattermole's father,,,Human,Muggle,Male,,,,,,[],[7]
78,79,Alfred Cattermole,c. Between 1987 and 1994 (possibly),,Human,Half-blood or Squib,Male,,,,,,['Cattermole family'],[7]
79,80,Reginald Cattermole,"Sun in Libra, moon in Virgo",,Human,Pure blood or Half-blood,Male,Greyish/Red,Green,,Non-corporeal,,"['British Ministry of Magic', 'Magical Maintenance Department', 'Cattermole family']",[7]
80,81,Owen Cauldwell,"between 1 September 1982 and 31 August 1983, Great Britain or Ireland",,Human,,Male,,,,,Hufflepuff,[],[4]
81,82,Ceremony official,,,Human,,Male,,,,,,[],"[6, 7]"
82,83,Chambers,"on or before 31 August 1983, Great Britain or Ireland",,Human,,Male,,,,,Ravenclaw,"['Hogwarts School of Witchcraft and Wizardry', 'Ravenclaw', 'Ravenclaw Quidditch team']",[5]
83,84,Cho Chang's father,before 1962 (most likely),,Human,,Male,,,,,,['Chang family'],[5]
84,85,Herbert Chorley,before 1979 (most likely),,,Muggle,Male,,,,,,[],[6]
85,86,Clive Lundquist,31 August 1982 or earlier,,,,Male,,,,,Unknown,[],[3]
86,87,Connolly,,,Human,,Male,,,,,,['Irish National Quidditch team'],[4]
87,88,Ritchie Coote,Pre 31 August 1984 (most likely),,Human,,Male,,,,,Gryffindor,"['Hogwarts School of Witchcraft and Wizardry', 'Gryffindor', 'Gryffindor Quidditch team']",[6]
88,89,Michael Corner,between 1 September 1979 and 31 August 1980,,Human,Half-blood,Male,Black,Brown,,Non-corporeal,Ravenclaw,"['Corner family', 'Hogwarts School of Witchcraft and Wizardry', 'Ravenclaw', ""Dumbledore's Army""]","[5, 6, 7]"
89,90,Crabbe,,,Human,Pure-blood,Male,,,,None,Slytherin (likely),"['Crabbe family', 'Lord Voldemort', 'Death Eaters']","[4, 5, 7]"
90,91,Vincent Crabbe,between 2 September 1979 and 1 September 1980,"2 May, 1998 (aged 17/18)",Human,Pure-blood,Male,,,"Unknown length, wood and core",None,Slytherin,"['Hogwarts School of Witchcraft and Wizardry', 'Slytherin', 'Slytherin Quidditch team', 'Inquisitorial Squad', ""Draco Malfoy's gang"", 'Crabbe family', 'Lord Voldemort', 'Death Eaters (unofficially)']","[1, 2, 3, 4, 5, 6, 7]"
91,92,Colin Creevey,betwen 3 May and 31 August 1981,"2 May, 1998 (aged 16)",Human,Muggle-born,Male,Mousy,,,,Gryffindor,"['Creevey family', ""Dumbledore's Army"", 'Harry Potter', 'Hogwarts School of Witchcraft and Wizardry', 'Gryffindor']","[2, 3, 4, 5, 6, 7]"
92,93,Dennis Creevey,between 1 September 1982 and 31 August 1983,,Human,Muggle-born,Male,Mousy brown,,,,Gryffindor,"[""Dumbledore's Army"", 'Creevey family', 'Hogwarts School of Witchcraft and Wizardry', 'Gryffindor']","[4, 5, 6]"
93,94,Creevey brothers' father,Before 1963 (most likely),,Human,Muggle,Male,,,,,,['Creevey family'],[2]
94,95,Cresswell brothers,,,Humans,Half-bloods or Squibs,Males,,,,,,['Cresswell family'],[7]
95,96,Dirk Cresswell,between 1 September 1960 and 31 August 1961,"March, 1998",Human,Muggle-born,Male,,,,Non-corporeal,,"['Ministry of Magic', 'Goblin Liaison Office', 'Hogwarts School of Witchcraft and Wizardry', 'Slug Club']","[6, 7]"
96,97,Saul Croaker,,,Human,,Male,,,,,,"['British Ministry of Magic', 'Department of Mysteries']",[4]
97,98,Crookshanks,Pre 1993,,Half-Kneazle,,Male,Ginger,Yellow,,,,"['Magical Menagerie', 'Magical Menagerie saleswoman', 'Hermione Granger (owner)', 'Sirius Black']","[3, 4, 5, 6, 7]"
98,99,Bartemius Crouch Junior,c. 1962,"c.1995-1996(aged 33 - 34) (received the Dementor's Kiss on 24 June, 1995)",Human,Pure-blood or half-blood,Male,Straw blonde,,Harry Potter's wand (briefly),None,,"['Lord Voldemort', 'Death Eaters', 'Hogwarts School of Witchcraft and Wizardry']","[4, 5, 6]"
99,100,Bartemius Crouch Senior,,"27 May, 1995",Human,Pure-blood,Male,"Grey, formerly Dark",,"Unknown length, wood and core",Non-corporeal,,"['British Ministry of Magic', 'Department of Magical Law Enforcement', 'Department of International Magical Cooperation']","[4, 5, 6, 7]"
100,101,Bartemius Crouch Snr's grandfather,,Before 1995,Human,Pure-blood,Male,,,,,,['Crouch family'],[4]
101,102,Gideon Crumb,1975,,Human,,Male,Brown,Blue,,,,['Weird Sisters'],[4]
102,103,Barnabas Cuffe,"between 1914 and 1970,",,Human,,Male,,,,,,"['Daily Prophet', 'Slug Club']",[6]
103,104,Hector Dagworth-Granger,,,Human,Pure-blood or half-blood,Male,,,,,,['Most Extraordinary Society of Potioneers'],[6]
104,105,Roger Davies,between 1 September 1977 and 31 August 1978 (likely),,Human,,Male,Dark,Dark,,,Ravenclaw,"['Davies family', 'Hogwarts School of Witchcraft and Wizardry', 'Ravenclaw', 'Ravenclaw Quidditch team']","[3, 4, 5, 7]"
105,106,John Dawlish,"Between 1877 and 1975,",,Human,Pure-blood or Half-blood,Male,Grey,,,,,"['British Ministry of Magic', 'Auror Office', 'Death Eaters (indirectly)', 'Dawlish family']","[5, 6, 7]"
106,107,Caradoc Dearborn,,,Human,,Male,,,,,,"['Dearborn family', 'Order of the Phoenix']",[5]
107,108,"Squat, wheezy man",,,Human,Pure-blood or Half-blood,Male,,,,None,,"['Death Eaters', 'Lord Voldemort']",[7]
108,109,Delacour sisters' father,,,Human,,Male,Black,,,,,['Delacour family'],[7]
109,110,Patrick Delaney-Podmore,,pre 1993,Ghost,,Male,White,,,,,"['Headless Hunt', 'Podmore family', 'Hogwarts School of Witchcraft and Wizardry']","[2, 7]"
110,111,Dennis,c. 1980,,Human,Muggle,Male,Black,,,,,"[""Dudley Dursley's gang""]","[1, 5]"
111,112,Derek,c. 1981-1982,,Human,,Male,,,,,,['Hogwarts School of Witchcraft and Wizardry'],[3]
112,113,Peregrine Derrick,"between 1 September 1976 and 31 August 1977, Great Britain or Ireland",,Human,,Male,Black,,,,Slytherin,"['Hogwarts School of Witchcraft and Wizardry', 'Slytherin', 'Slytherin Quidditch team']","[3, 5]"
113,114,Barnabas Deverill,17th century (most likely),,Human,,Male,,,Unknown wand,,,[],[7]
114,115,Dedalus Diggle,Pre 1964,,Human,Half-blood or Pure-blood,Male,,,"Unknown length, wood and core",Non-corporeal,,"['Diggle family', 'Order of the Phoenix', 'Advance Guard', 'Harry Potter']","[1, 5, 7]"
115,116,Amos Diggory,,,Human,Pure-blood or half-blood (likely),Male,Brown,,,Non-corporeal,,"['British Ministry of Magic', 'Department for the Regulation and Control of Magical Creatures', 'Diggory family', 'Hogwarts School of Witchcraft and Wizardry']",[4]
116,117,Cedric Diggory,between 1 September and 30 October 1977,"24 June, 1995 (aged 17)",Human,Pure-blood (possibly),Male,Dark,Grey,"12Вј"", Ash, unicorn hair",,Hufflepuff,"['Diggory family', 'Hogwarts School of Witchcraft and Wizardry', 'Hufflepuff', 'Hufflepuff Quidditch team', 'Circle of Khanna', 'Death Eaters (alternate timeline)']","[3, 4, 5, 6, 7]"
117,118,Ivor Dillonsby,,,Human,,Male,,,,,,[],[7]
118,119,Vasily Dimitrov,"before 1977, Bulgaria (possibly)",,Human,,Male,Brown,Green,,,,['Bulgarian National Quidditch team'],[4]
119,120,Harold Dingle,Late 1970s or early 1980s,,Human,,Male,,,,,,['Hogwarts School of Witchcraft and Wizardry'],[5]
120,121,Armando Dippet,"October, 1637",late 1992 (aged 355),Human,,Male,Brown (youth),Brown,,,,['Hogwarts School of Witchcraft and Wizardry'],"[2, 5, 6, 7]"
121,122,Dishevelled Wizard,Prior to 1993,,Human,,Male,Grey,,,,,['Knight Bus'],[3]
122,123,Dobby,"28 June, unknown year","Late March, 1998",House-elf,,Male,,Green,,,,"['Malfoy family (formerly)', 'Harry Potter', 'Ronald Weasley', 'Hermione Granger', ""Dumbledore's Army"", 'Order of the Phoenix', 'Hogwarts School of Witchcraft and Wizardry', 'S.P.E.W.']","[2, 3, 4, 5, 6, 7]"
123,124,Elphias Doge,"Between 1 September 1880 and 31 August 1881,",,Human,Pure-blood,Male,Silver,Grey/Blue,,Non-corporeal,,"['Order of the Phoenix', 'Advance Guard', 'British Ministry of Magic', 'Wizengamot', 'Hogwarts School of Witchcraft and Wizardry']","[5, 7]"
124,125,Antonin Dolohov,pre 1950,,Human,Pure-blood or Half-blood,Male,Dark,,,None,,"['Death Eaters', 'Lord Voldemort']","[4, 5, 6, 7]"
125,126,Double-ended-newt wizard,,,Human,,Male,,,,,,['Magical Menagerie'],[3]
126,127,Dragon keeper,,,Human,,Male,,,,Non-corporeal,,['Romanian Dragon Sanctuary'],[4]
127,128,Driving test examiner,c. 1996 or earlier,,Human,Muggle,Male,,,,,,[],[7]
128,129,Dudley,,,Human,Half-blood or pure-blood (possibly),Male,,,,,,[],[7]
129,130,Kirley Duke,1971,,Human,Half-blood or Pure-blood,Male,Black,,,Non-corporeal,,"['Weird Sisters', 'McCormack family', 'Hogwarts School of Witchcraft and Wizardry']",[4]
130,131,Aberforth Dumbledore,between 1 September 1883 and 31 August 1884,,Human,Half-blood,Male,Grey,Bright blue,,Goat,,"[""Hog's Head Inn"", 'Order of the Phoenix', 'Dumbledore family', 'Hogwarts School of Witchcraft and Wizardry']","[4, 5, 6, 7]"
131,132,Percival Dumbledore,Before 1864,After 1890,Human,Pure-blood or Half-blood,Male,,Blue,,,,['Dumbledore family'],[7]
132,133,Dudley Dursley,23 June 1980,,Human,Muggle,Male,Blond,Blue,,,,"['Dursley family', 'Evans family', 'Smeltings Academy', 'His gang (formerly)']","[1, 2, 3, 4, 5, 6, 7]"
133,134,Vernon Dursley,Pre 1954,,Human,Muggle,Male,Black,,,,,"['Dursley family', 'Grunnings']","[1, 2, 3, 4, 5, 6, 7]"
134,135,Marietta Edgecombe's father,,,Human,,Male,,,,,,['Edgecombe family'],[5]
135,136,Egbert the Egregious,Middle Ages,Middle Ages,Human,,Male,,,Unknown,,,[],[7]
136,137,Elfric the Eager,,,,,,,,,,,[],[1]
137,138,Emeric the Evil,Middle Ages,Middle Ages,Human,,Male,,,Unknown wand,,,[],"[1, 7]"
138,139,Errol,Before 1984,,Great grey owl,,Male,,,,,,['Weasley family (owners)'],"[2, 3, 4]"
139,140,Mark Evans,c. 1985,,Human,Muggle,Male,,,,,,[],[5]
140,141,Evans sisters' father,,Between 1 September 1971 and 31 October 1981,Human,Muggle,Male,,,,,,['Evans family'],"[1, 7]"
141,142,Everard,,In or before 1995,Human,,Male,Black,,,,,['Hogwarts School of Witchcraft and Wizardry'],"[5, 6]"
142,143,Fallen Fifty,,"2 May, 1998",Humans,,"Females, Males",,,,,,"['Hogwarts School of Witchcraft and Wizardry', 'Order of the Phoenix', 'Harry Potter', ""Dumbledore's Army""]",[7]
143,144,Fang,c. 1984,,Boarhound,,Male,Black,,,,,['Rubeus Hagrid'],"[1, 2, 3, 4, 5, 6, 7]"
144,145,Fat Friar,10th century,Pre 1988,Human (formerly),,Male,Brown,,,,Hufflepuff,"['Hogwarts School of Witchcraft and Wizardry', 'Hufflepuff', 'Catholic Church (formerly)']","[1, 2, 4, 5, 6, 7]"
145,146,Father Christmas,,,,,,,,,,,[],"[2, 4, 7]"
146,147,Fawkes,Before 1938,Immortal. Dies and is reborn from the ashes. Death dates include:,Phoenix,,Male,,Black,,,,"['Albus Dumbledore', 'Harry Potter', 'Order of the Phoenix']","[1, 2, 4, 5, 6, 7]"
147,148,Benjy Fenwick,,1981,Human,,Male,,,,,,"['Fenwick family', 'Order of the Phoenix']",[5]
148,149,Fergus,Before 1980,,Human,Pure-blood or half-blood (possibly),Male,,,,,,"['Ireland', 'Finnigan family']",[6]
149,150,Argus Filch,Pre 1951,,Human,Squib,Male,Grey (balding),Pale,,,,"['Hogwarts School of Witchcraft and Wizardry', 'Inquisitorial Squad (formerly)', 'Mrs Norris']","[1, 2, 3, 4, 5, 6, 7]"
150,151,Justin Finch-Fletchley,between 1 September 1979 and 31 August 1980,,Human,Muggle-born,Male,Red,,,Non-corporeal,Hufflepuff,"['Finch-Fletchley family', 'Hogwarts School of Witchcraft and Wizardry', 'Hufflepuff', ""Dumbledore's Army""]","[1, 2, 4, 5]"
151,152,Barnabus Finkley,,,Human,,Male,,,,,,['Barnabus Finkley Prize for Exceptional Spell-Casting'],[7]
152,153,Seamus Finnigan's father,,,Human,Muggle,Male,,,,,,['Finnigan family'],[1]
153,154,Seamus Finnigan,between 1 September 1979 and 31 August 1980,,Human,Half-blood,Male,Sandy,,"Unknown length, wood and core",Fox,Gryffindor,"[""Dumbledore's Army"", 'Hogwarts School of Witchcraft and Wizardry', 'Gryffindor', 'Finnigan family']","[1, 2, 3, 4, 5, 6, 7]"
154,155,Firenze,,,Centaur,,Male,White-blond,Astonishingly blue,,,,"['Forbidden Forest Centaur colony', 'Hogwarts School of Witchcraft and Wizardry', 'Order of the Phoenix (during the Battle of Hogwarts)', ""Dumbledore's Army (during the Battle of Hogwarts)""]","[1, 5, 6, 7]"
155,156,Nicolas Flamel,Between 1300 and 1326,Between 1992 and 1996 (aged between 665 and 696),Human,,Male,White,Dark,"Unknown length, wood and core",,,"['Beauxbatons Academy of Magic', 'Albus Dumbledore', 'Flamel family']","[1, 7]"
156,157,Angus Fleet,,,Human,Muggle,Male,,,,,,[],[2]
157,158,Mundungus Fletcher,"Before 1962, Great Britain or Ireland",,Human,Half-blood,Male,Ginger,Brown,"Unknown length, wood and core",Non-corporeal,Unknown,"['Order of the Phoenix', 'Albus Dumbledore', 'Harry Potter', 'Fletcher family', 'Hogwarts School of Witchcraft and Wizardry']","[2, 4, 5, 6, 7]"
158,159,Marcus Flint,between 1 September 1975 and 31 August 1976,,Human,Pure-blood or half-blood (possibly),Male,,,,,Slytherin,"['Flint family', 'Hogwarts School of Witchcraft and Wizardry', 'Slytherin', 'Slytherin Quidditch team']","[1, 2, 3]"
159,160,Filius Flitwick,17 October 1958 or earlier,,Human (Goblin ancestry),Part-Goblin,Male,White,,"Unknown length, wood and core",Non-corporeal,Ravenclaw,"['Hogwarts School of Witchcraft and Wizardry', 'Ravenclaw', 'Frog Choir', 'Flitwick family', 'Order of the Phoenix (during the Battle of the Astronomy Tower and the Battle of Hogwarts', ""Dumbledore's Army (during the Battle of the Astronomy Tower and the Battle of Hogwarts""]","[1, 2, 3, 4, 5, 6, 7]"
160,161,Florence's boyfriend,"1950s - 1960s, Great Britain or Ireland",,Human,,Male,,,,,,['Hogwarts School of Witchcraft and Wizardry'],[4]
161,162,Fluffy,Pre 1991,,Three-headed dog,,Male,Brown,Brown,,,,"['Rubeus Hagrid', 'Hogwarts School of Witchcraft and Wizardry']","[1, 2, 4]"
162,163,Ambrosius Flume,"between 1914 and 1970,",,Human,,Male,Bald,,,,,"['Hogwarts School of Witchcraft and Wizardry', 'Slug Club', 'Honeydukes']","[3, 6, 7]"
163,164,Dexter Fortescue,,"After 1707, and before 1995",Human,,Male,,,,,,"['Hogwarts School of Witchcraft and Wizardry', 'Fortescue family']","[5, 7]"
164,165,Florean Fortescue,,1996,Human,,Male,,,,,,"['Fortescue family', ""Florean Fortescue's Ice Cream Parlour""]","[3, 6]"
165,166,Foul-smelling Snatcher,Before 1981,,Part-troll human (possibly),Pure or Half-blood (most likely),Male,,,"10"", blackthorn, unknown core materials (formerly)",,,['Snatchers'],[7]
166,167,Fubster,,,Human,Muggle,Male,,,,,,[],[3]
167,168,Cornelius Fudge,Pre 1964,,Human,Pure-blood or Half-blood (most likely),Male,Grey,,"Unknown length, wood and core",Non-corporeal,,"['Order of Merlin', 'British Ministry of Magic', 'Department of Magical Accidents and Catastrophes', 'Wizengamot', 'Fudge family', 'Hogwarts School of Witchcraft and Wizardry']","[1, 2, 3, 4, 5, 6, 7]"
168,169,Ulick Gamp,in or before 1690 (most likely),,Human,Pure-blood or half-blood,Male,Black,Brown,,,,"['Wizengamot', 'British Ministry of Magic', 'British Government', 'Gamp family']",[6]
169,170,Marvolo Gaunt,Pre 1890,Between 1925 and 1928,Human,Pure-blood,Male,Grey,Bright brown,,,House of Gaunt,[],"[2, 6, 7]"
170,171,Morfin Gaunt,c. 1900,pre 1996,Human,Pure-blood,Male,Dark,Dark,"Unknown length, wood and core",,House of Gaunt,[],"[6, 7]"
171,172,Portly ghost,,Before 1992,Human (formerly),,Male,,,,,,[],[2]
172,173,Gibbon,,"30 June, 1997",Human,,Male,,,,None,,"['Lord Voldemort', 'Death Eaters']",[6]
173,175,Godelot,Middle Ages,Middle Ages,Human,,Male,,,Unknown wand,,,[],[7]
174,176,Godfrey,,1978 or earlier,Human (formerly),,Male,,,,,,[],[3]
